,Skills,Pbb
898,File systems,0
899,FileNet,0
900,Filing,0
901,FIM,0
902,Finance,0
903,Financial accounting,0
904,Financial analysis,0
905,Financial management,0
906,Financial reporting,0
907,Financial services,0
908,Finite element,0
909,Firebug,0
910,Firefox,0
911,Firewall,0
912,Firmware,0
913,Firmware development,0
914,FishEye,0
915,FIT,0
916,FIX,0
917,Fixed assets,0
918,Flask,0
919,Flat file,0
920,Fleet management,0
921,FloTHERM,0
922,Flowchart,0
923,Fluency,1
924,fluent,0
925,Fluid mechanics,0
926,FM,0
927,FMEA,0
928,FMECA,0
929,FMS,0
930,FOCUS,0
931,FogBugz,0
932,Force.com,0
933,Forecasting,0
934,Formal verification,0
935,Forms,0
936,Fortify,0
937,Fortran,0
938,Foundry,0
939,FPGA,0
940,FRACAS,0
941,Frame Relay,0
942,Framework,0
943,Fraud management,0
944,FreeBSD,0
945,FreeSWITCH,0
946,French,0
947,FRS,0
948,FTA,0
949,FTP,0
950,FTS,0
951,FTTX,0
952,Function generator,0
953,Functional analysis,0
954,Functional design,0
955,Functional requirements,0
956,Functional specification,0
957,Functional testing,0
958,Fusion,0
959,FxCop,0
960,GA,0
961,Gambit,0
962,Gaming,0
963,GAMP,0
964,GAP,0
965,Gap analysis,0
966,GC,0
967,GCC,0
968,GCD,0
969,GDB,0
970,GDP,0
971,GEM,0
972,General Ledger,0
973,Genesys,0
974,Gentran,0
975,Geographic information system,0
976,German,0
977,GGSN,0
978,Ghost,0
979,GHS,0
980,Git,0
981,GitHub,0
982,GL,0
983,GlassFish,0
984,GLM,0
985,Global delivery,0
986,Global marketing,0
987,GLP,0
988,GMLAN,0
989,GMP,0
990,GNU,0
991,Good manufacturing practice,1
992,Google Analytics,0
993,Google App Engine,0
994,Google Apps,0
995,Google Chrome,0
996,Google Drive,0
997,Google Maps,0
998,Google Maps API,0
999,Google Web Toolkit,0
1000,Google+,0
1001,GOP,0
1002,Governance,0
1003,Government,0
1004,GPIB,0
1005,GPM,0
1006,GPP,0
1007,GPRS,0
1008,GPS,0
1009,GPU,0
1010,GR,0
1011,Gradle,0
1012,Grails,0
1013,Graphics,0
1014,Graphite,0
1015,Gray box testing,0
1016,Green Hills,0
1017,Green Hills Integrity,0
1018,GRID,0
1019,Groovy,0
1020,Group policy,0
1021,GRXML,0
1022,GSLB,0
1023,GSM,0
1024,GStreamer,0
1025,GTP,0
1026,GTS,0
1027,GUI,0
1028,GWT,0
1029,GXP,0
1030,GXS,0
1031,H.323,0
1032,HAL,0
1033,Hand tools,0
1034,Hansoft,0
1035,HAP,0
1036,Hardening,0
1037,Hardware,0
1038,Hardware development,0
1039,Hardware installation,0
1040,Hardware troubleshooting,0
1041,HATS,0
1042,HB,0
1043,HCI,0
1044,HD,0
1045,HDD,0
1046,HDFS,0
1047,HDL,0
1048,HDM,0
1049,HDMI,0
1050,Health care,0
1051,HEAT,0
1052,Heat transfer,0
1053,Help desk,0
1054,Heroku,0
1055,Heuristic evaluation,0
1056,HFSS,0
1057,Hibernate,0
1058,High-level design,0
1059,HIPAA,0
1060,HIT,0
1061,Hitachi,0
1062,HITECH,0
1063,HL7,0
1064,HLD,0
1065,HLLAPI,0
1066,HLR,0
1067,HMC,0
1068,HMI,0
1069,Hortonworks,0
1070,Hospitality,0
1071,Hosting,0
1072,HP,0
1073,HP-UX,0
1074,HP ALM,0
1075,HP Data Protector,0
1076,HP LoadRunner,0
1077,HP Performance Center,0
1078,HP PPM,0
1079,HP Quality Center,0
1080,HP QuickTest Professional,0
1081,HP Server,0
1082,HP SiteScope,0
1083,HQL,0
1084,HSPICE,0
1085,HSRP,0
1086,HSS,0
1087,HTML,0
1088,HTML5,0
1089,HTTP,0
1090,HTTPS,0
1091,HUAWEI,0
1092,Hudson,0
1093,Human-computer interaction,0
1094,Human resources,0
1095,HVAC,0
1096,Hybris,0
1097,Hydraulics,0
1098,Hyper-V,0
1099,Hyperion,0
1100,Hyperlynx,0
1101,Hypermesh,0
1102,I2C,0
1103,IaaS,0
1104,IAR,0
1105,iBATIS,0
1106,IBM,0
1107,IBM AIX,0
1108,IBM Assembler,0
1109,IBM Cognos,0
1110,IBM Cognos BI,0
1111,IBM Cognos Framework Manager,0
1112,IBM Cognos Report Studio,0
1113,IBM Cognos TM1,0
1114,IBM Cognos Transformer,0
1115,IBM DB2,0
1116,IBM HTTP Server,0
1117,IBM IMS,0
1118,IBM Informix,0
1119,IBM InfoSphere,0
1120,IBM.ODM,0
1121,IBM Rational,0
1122,IBM Rational ClearCase,0
1123,IBM Rational ClearQuest,0
1124,IBM Rational DOORS,0
1125,IBM Rational Performance Tester,0
1126,IBM Rational Quality Manager,0
1127,IBM Rational RequisitePro,0
1128,IBM Rational Synergy,0
1129,IBM Rational Team Concert,0
1130,IBM RPG,0
1131,IBM Security AppScan,0
1132,IBM Sterling Commerce,0
1133,IBM Storage,0
1134,IBM WebSphere,0
1135,IBM WebSphere Application Server,0
1136,IBM WebSphere Commerce,0
1137,IBM WebSphere MQ,0
1138,IBM WebSphere Process Server,0
1139,IBM WID,0
1140,IBM Worklight,0
1141,IC,0
1142,ICC,0
1143,ICE,0
1144,ICEfaces,0
1145,ICH,0
1146,ICM,0
1147,ICMP,0
1148,ICOMS,0
1149,ICS,0
1150,IDC,0
1151,IDE,0
1152,IDEA,0
1153,Ideation,0
1154,Identity management,0
1155,IDLE,0
1156,IDoc,0
1157,IDS,0
1158,IEEE 802.11,0
1159,IEEE 802.1X,0
1160,IGBT,0
1161,IGMP,0
1162,IHE,0
1163,Illustration,0
1164,IM,0
1165,Image analysis,0
1166,Image editing,0
1167,Image management,0
1168,Image processing,0
1169,Image segmentation,0
1170,IMAP,0
1171,IMPACT,0
1172,Implementation,1
1173,Implementation management,0
1174,Incident management,0
1175,IND,0
1176,Industrial design,0
1177,Industrial engineering,0
1178,Infinium,0
1179,Infor,0
1180,Informatica,0
1181,Informatica PowerCenter,0
1182,Informatics,0
1183,Information Analyzer,0
1184,Information architecture,0
1185,Information design,0
1186,Information lifecycle management,0
1187,Information management,0
1188,Information mapping,0
1189,Information security,0
1190,Information systems,0
1191,Infragistics,0
1192,Infrastructure,0
1193,Infrastructure architecture,0
1194,Infrastructure management,0
1195,Injection molding,0
1196,Innovation,0
1197,INSPECT,0
1198,Inspection,0
1199,InstallAnywhere,0
1200,Installation,0
1201,Installshield,0
1202,Instructional design,0
1203,Instrumentation,0
1204,Insurance,0
1205,Integration,0
1206,Integration architecture,0
1207,Integration Broker,0
1208,Integration management,0
1209,Integration testing,0
1210,Intellectual property,0
1211,Intelligence,1
1212,IntelliJ IDEA,0
1213,Interaction design,0
1214,Interactive marketing,0
1215,Interface design,0
1216,Interfaces,0
1217,Interfaces management,0
1218,Internal communications,0
1219,Internationalization and localization,0
1220,Internet,0
1221,Internet Explorer,0
1222,Internet research,0
1223,Interwoven,0
1224,Intranet,0
1225,Inventory,0
1226,Inventory control,0
1227,Inventory management,0
1228,Investigation,0
1229,Invoices,0
1230,IO,0
1231,IOC,0
1232,iOLAP,0
1233,ION,0
1234,iOS,0
1235,IOT,0
1236,IP,0
1237,iPad,0
1238,IPC,0
1239,IPDR,0
1240,iPhone,0
1241,IPMI,0
1242,IPS,0
1243,IPsec,0
1244,iptables,0
1245,IPTV,0
1246,IPv4,0
1247,IPv6,0
1248,IQ,0
1249,IR,0
1250,IRD,0
1251,IronPython,0
1252,ISA,0
1253,iSCSI,0
1254,ISDN,0
1255,ISE,0
1256,ISIS,0
1257,ISO 13485,0
1258,ISO 9000,0
1259,ISP,0
1260,ISS,0
1261,ISSE,0
1262,Issue resolution,0
1263,Issue tracking,0
1264,ISTQB,0
1265,ISUP,0
1266,IT architecture,0
1267,IT security assessment,0
1268,ITIL,0
1269,ITK,0
1270,Itko,0
1271,ITL,0
1272,IVR,0
1273,Ixia,0
1274,J2EE,0
1275,J2ME,0
1276,JAM,0
1277,Jama,0
1278,Japanese,1
1279,Jasmine,0
1280,JasperReports,0
1281,JasperSoft,0
1282,Java,0
1283,Java SE,0
1284,Java Servlets,0
1285,JavaBeans,0
1286,JavaFX,0
1287,JavaMail,0
1288,JavaScript,0
1289,JavaScriptMVC,0
1290,JAWS,0
1291,JAX,0
1292,JAX-RS,0
1293,JAX-WS,0
1294,JAXB,0
1295,JBA,0
1296,jBPM,0
1297,JCL,0
1298,JConsole,0
1299,JD,0
1300,JDBC,0
1301,JDE,0
1302,JDK,0
1303,JDO,0
1304,JEDEC,0
1305,Jenkins,0
1306,Jersey,0
1307,Jetty,0
1308,JIRA,0
1309,JMP,0
1310,JMS,0
1311,JMX,0
1312,JNCIA,0
1313,JNDI,0
1314,JNI,0
1315,Job scheduling,0
1316,Joomla,0
1317,Journalism,0
1318,JPA,0
1319,JProbe,0
1320,JProfiler,0
1321,jQuery,0
1322,jQuery Mobile,0
1323,jQuery UI,0
1324,JScript,0
1325,JSE,0
1326,JSON,0
1327,JSP,0
1328,JSR,0
1329,JSTL,0
1330,JTA,0
1331,JTAG,0
1332,Juniper,0
1333,JUnit,0
1334,JVM,0
1335,Kanban,0
1336,KCS,0
1337,Kendo UI,0
1338,Kentico CMS,0
1339,Kerberos,0
1340,Keyword research,0
1341,Kickstart,0
1342,KMAT,0
1343,KMS,0
1344,Knockout JS,0
1345,Knowledge management,0
1346,Knowledge sharing,0
1347,KPI,0
1348,KPI management,0
1349,KVM,0
1350,L2TP,0
1351,Laboratory equipment,0
1352,Laboratory management,0
1353,LabVIEW,0
1354,LabWindows/CVI,0
1355,LACP,0
1356,Ladder logic,0
1357,LAMP,0
1358,LAN,0
1359,Laptop,0
1360,Lasers,0
1361,Lauterbach,0
1362,layer.2.3.protocol,0
1363,Layout,1
1364,LDAP,0
1365,LDP,0
1366,LDRA,0
1367,Lead generation,0
1368,Leadership,1
1369,LEC,0
1370,LED,0
1371,Legacy systems,0
1372,Legal,0
1373,LESS,0
1374,Level design,0
1375,Licensing,0
1376,Licensing management,0
1377,Life sciences,0
1378,Lifecycle management,0
1379,Liferay,0
1380,Lighting,0
1381,Linear algebra,0
1382,Linear regression,0
1383,LinkedIn,0
1384,LINQ,0
1385,Linux,0
1386,Linux administration,0
1387,Linux kernel,0
1388,LISA,0
1389,Lithography,0
1390,LMS,0
1391,Load balancing,0
1392,Load testing,0
1393,Location-based services,0
1394,Log analysis,0
1395,Log management,0
1396,Log shipping,0
1397,Logic analyzer,0
1398,Logistic regression,0
1399,Logistics,0
1400,Logos,0
1401,Lotus,0
1402,LPS,0
